a-uw-a, auwi-a	awfa
paib.ebla=an, paib.ebla=n	paibiblan
paini-b-a-ne=l	painibanel
paini-ne-va, pā+i+nni-i-a	pāinnia, pāīnnia
paini-ne-ž, pā+i+nni-i-ž, pā+i+nni-ž	pāinniž
pal-aġ-a, pal-aʾ-a, pal-aḫḫ-a, palaġi-a, palaʾe-a, palaḫḫi-a	palaġa
pal-i-a	palia
pal-i-kki=mma	pālikkamma
pal-i-o	paliu, pāliu, pāliw
pal-o-kko	pālukku
pal-ā, pāli-ā	pālā
panniri-a	pannira
par-i-a, pār-i-a, pāri-i-a	paria
par-ind-o-ež	pārinduž
pari-ož	paruž
pariss+ade	parissade
parzīgi-a	parzīga
parġi-da, parġi-i-da	parġida
pass-ūw-a	passūwa
passi-a	passa
patte	pātte
patte-ne, patte-ne-e	patteni, pāttini
paġ+and+ar+i-ne, paġ+and+ar+i-ne-e	paġandarri
paġ+li	paġli
paġari-na-āž-ož, paḫḫiri-na-āž-ož	paḫḫirāžuž
paġi-ž, pāġ-i-ež	pāġiž
paġmi	paġmi
paīnni-ne-ve-ož	paīnninibuž
pašš+ar+ugār+i-a, pašš-ar-ugār-a	paššarugāra
pašš+i+ġe-ia-ne	paššiġiani
pašši-na=mma	paššinamma
ped+ar+i	pēdāri
ped+ar+i-ne-ž	pēdarriž
ped+ar+i-ož	pēdaruž, pēdāruž
ped+ar+i-v-až-a	pidari⸢fa⸣ša
pen-d-o, pen-d-o, pen-d-u, pen-d-u, pen-id-o, pen-id-o, pend-o, pend-u	pendu
pen-ān-o-ež	pēnānuž
pend-a	penda
pend-a-b	pindab
pend-aʾ-ol-d-a	pindaulda
pend-i-l-eva-ž	pindilivaž
pend-id-o	pendidu
pend-iž-a	pendiža
pend-o-kko	pendukku
pend-o=n	pindun
pend-uġ-a	pendūġa
pend-ōl-i	pindōli
pend-ūw-a=lla	pendōvalla
pid+o+šše-da, pid+o+šše-i-da	piduššida
pid+uff-a	piduffa
pid-i-a, pīdi-i-a	pidia, pīdia
pig-a, pigi-a	piga
pil+āġ+i+šše+li+ġe-a	pilāġižiliġa
pili-na, pille-a	pella, pilla
pilla-nē-va	pillanēva
pille-ne-e	pellēni, pillēni
pindaia+ni-ne, pindaia+ni-ne-e, pindaia+nni	pindaianni
pir+ugāri-a, pir-ugār-a	pirugāra
pir-ed-a, piri-da, piri-i-da	pirida
piri-ne-e=v, piri-ne=v, pirr-i-b, pirr-i=v, pirri-b	pirrib
pirund+ō+ġe-a	pirundōġa
pitkiri-a	pitkira
pittugalli-i-až	pittugalliaž
pizigarra	pizigarra
pizigarra-ž	pizigarraž
piġ-ī-e, piġi-ī-e	piġīe
piġi-da, piġi-i-da	piġida
pišḫ-i, pišḫi	pišḫi
piž+ešḫ-o-m	pižešḫum
pižiri-ne, pižiri-ne-e	pižirri
pižāiš.pā-ne=l	pižāišpānel
poli-ne-ve-āe	pullibāe
poli-ne-ž	pullež, pōllež
powe-na-až-ož	pōenažuž
powe-na-āž-ož	puenāžuž, pōenāžuž
powe-ne, powe-ne-e	puweni
powe-ne-ve	pōenibi
pošš+i+nni, pōšši-nni	puššinni
pul+idi-ve-āe	pulidibāe
puli-ne-ž	pulliž
pur+bur+ni-ī-e, pur+bur+ni-īe	purburnīe
pur+i+rē+nni	purrēnni
pura+mmi-b	purammib
pura+mmi-iffu-wa=an, pura+mmi-iffu-wa=n	purammippuwan
purandi	puramdi, purandi
purandi-ne-ž=l	purandinel
puranziḫ-ve-na-āž-a	puranzipḫināža
purra-nna, purra=nna	purranna
purra-ve	purrābi, purrāvi
purra=n	purran
purġ-a, purġi-a	purġa
puss-a, pussi-a	pussa
put+t+i+ġe-i-ž, put+t+i+ġe-ž	puttiġiž
puġuiri-da=ma, puġuiri-i-da=ma	puġuiridama
pušši	pušši
pā-ašt-ō-m	pāštōm
pābel+ġe-a	pābelġa
pāeni-b	pāenib
pāeni-b=ma, pāeni-p-pa	pāenippa
pāini	paini
pāiri-na	pāirra
pāli	pālī
pār+i+r+o+ni-ne, pār+i+r+o+ni-ne-e, pār+i+r+o+nni	pārirunni
pār+i+že-a, pār-iž-a	pāriža
pār+i+že-i-nna, pāriže-nna	pāriženna
pār-a, pāri-a	pāra
pār-i, pāri	pāri
pār-ill-and-i-n, pār-ill-and-i=n	pārellandin
pār-ind-ō-ež	pārendūž
pār-iž-a=nna	farižanna, pārīžanna
pār-u	pāru
pārgi-i-až	pārgiaž
pārili	pārili
pārili-a	pārila
pārili-āi	pārilāi
pārizi-ne-ve-na=ma	pārizinivinama
pāttari-ne-ve	pāttarribi
pāttari-nē-da	pāttarrēda
pāttīvori-ne-va	pāttīvorriva
pāġ-ed-a, pāġi-da, pāġi-i-da	pāġida
pāġ-ed-aw	paġedab
pāġ-ed-ōw	pāġidō
pāġ-id-e	pāġidi
pāġ-ēd-a	paġēda, pāġēda
pāġ-ōž-a	pāġōža
pāġ-ū=ma	pāġūma
pāġani-a	pāġana
pāġi	pāġi
pāġi, pāġi-i-e, pāġi-ie	fāġie
pāġi-b	pāġib
pāġi-i-až-a	pāġiaža
pāġi-i-va, pāġi-va	pāġiba
pāġi-ī-da	pāġīda
pāġilāe-na	pāġilāena
pāšš+aḫḫ+i	pāššaḫḫi
pāšš+i+tḫe	paššitḫi
pāšš+i+tḫe-a	paššitḫa
pāšš+i+tḫe-ā=d, pāšš+i+tḫe=d	pāššitḫād
pāži-iē-ne, pāžē-ne, pāžē-ne-e	pāžēni
pāži-ne-da	pāžinida
pāži-āe	pažāe, pāžāe
pēd+uġ-a, pēd+uġ-a	pēduġa
pēri-ġē-na, pērġēna, pērġēni-a	pērġēna
pērġubi-a	pērġuba
pēġ-i, pēġ-i, pēġi	pēġi
pēġ-ol-a-b-a=lla, pēġulabi-a=lla	pēġulaballa
pēž-an-o-m	pēžanum
pīar-id-a, pīari-da, pīari-i-da	pīarida
pīari	piari
pīd+uġ-o, pīd+uġ-u	piduġu
pōnġi-b	pōnġib
pōr+idi-āi	pōridāi
pōranade-ne-va	pōranadeniba
pōss-o, pōss-u	pōssu
pōšši	pōšši
pōšši-b	pōššib
pūd+ang-i-āi	pūdangāi
pūrānadi	pūrānadi
pūz+iġ-o-m	pūziġub, pūziġum
sabal+gi-na	sabalgina
sabal+gi-āi	sabalgāi
sabari-ne, sabari-ne-e	sabarri
sabl+a+šše	sablašši
sabl+ung+i	sablungi
sabl-ōž-a	sablōža
sabl-ōž-o	sablōžu
sabri	sabri
sakkandi	sakkandi
sal-ašt-o, sal-ašt-u	salaštu
sal-ī, sāli-ī, sālī	sālī
salmi-a	salma
samm+al-ašt-o-ež	sammalaštuž
sangandi	sangandi
sanzāmi	sanzāmi
sarmade-ne-n	sarmadenin
sassi+ni-ī-e, sassi+ni-īe, sassi-ne-ē	sassinīe
sav-āl-d-o-m	savāldum
saz+ul+di-a, sāz-ol-d-a	sazulda
sažri-a	sažra
saḫḫi-ā	saḫḫā
selmi	selmi
serrē-ne-ž	serrēnež
si-īa-ni	sīani
sib+ar+i-i-va, sib+ar+i-va	sibariba
sib-i, sibi	sibi
sig+al-d-i, sigaldi	sigaldi
sig+al-d-ož-i, sigald+o+že	sigalduži
sig+ar+ulli-ne-ž	sigarullinež
sigr+ō+šḫe-ne-e=nna, sigr+ō+šḫe-ne-nna, sigr+ō+šḫe-ne=nna	sigrōšḫinenna
sikk+o+ġe-a, sikk-ōġ-a	sikkōġa
sikk-ulli	sikkulli
sikk-ūlli	sikkūlli
silm+an-ed-aw	silmanidab
simidadi-a	simidada
simidadi-ne-ž	simidadinež
simidadi-ož	simidaduž
simmi-ne-ve, simmi-ne-ē, simmi-nē	simminie
sips+i+ḫḫe-a=tta	sipsiḫḫatta
siss-ō-m	sissōm
sitk-a-b	sitkab
sitk-ōl-i	sītkūli
sub-et-t-a, subitti-a	subitta
subn-ī-a, subni-ī-a	subnīa
sug-uġ-ēd-a	suguġēda
suga+zūg-an-i-šše-a, suga+zūga+ni+šše-a, suga+zūga+ni-š=nna	sugazūganišša
sugm-ušt-a-b	sugmuštab
sukk-i, sukki	sukki
sul+gi	sulgi
sul+ud-a	sulūda
sul+ud-e, sūl+ūde	sūlūde
sul+ud-ol-o-m	suludulub
sul+ud-ō-ēn	sulōdōēn
sul+ō+že-ne-ve, sul+ō+že-ne-ē, sul+ō+že-nē	sulōženie
sumġar	sumġar
suppi-ne, suppi-ne-e	suppini
suppi-ne-ve-ne-n	suppinibinin
sur+u+ški	suruški
sur+ung+i	surungi
sur-ōž-a	surōža
surgi	surgi
suss+ō+nni	suzōnni
suv+ad+atte	suwadatte
suwaḫḫu	suwaḫḫu
suzumagi-ia-ne	suzumagiani
suġižali-ne, suġižali-ne-e, suġižalli	suġižalli
suġri	suġri
suḫḫi-ne-ē, suḫḫi-nē	suḫḫinie
sāllavi-a	sāllava
sāss+ar+i	sāssari
sāz-i-en, sāz-i-en, sāz-i=n, sāz-i=n, sāzi-n, sāzi=n	sāzin
sāz-ol-i-a	sāžulia
sāz-ol-il-ed-a	sāzulilida
sāz-ol-ōšt-i-re	sāzulōšteri
sāz-ol-ōž-a	sāžulōža
sāz-ōl-ošt-i-re	sāzōlušteri
sāzalla-ž	sāzallaž
sēze	sēze
sēži	sēži
sīg-il-a, sīgili-a	sīgila
sō-ī-b, sōī-b	sōīb
sōbi-nē-ra	sōbinēra
sōbāri-a	sōbāra
sōni-ne, sōni-ne-e	sōnni
sōpḫōri-a	sōpḫōra
sōr-ōž-o	sōrōžu
sōve-ne, sōve-ne-e	sōveni
sōšš-a, sōšši-a	sōšša
sōšši	sōšši
sōšši-i-ož	sōššiuž
sūgētte-ne, sūgētte-ne-e	sūgētteni
sūl+eški-a	sūleška
sūl-id-o	sūldu, sūlidu
sūl-ōž-a	sūlūža
sūr+ang+i	sūrangi
sūve	sūwe
sūve-ae	sūwae
tab+i+re-iffu-we	tabiribuwi
tab+i+re-ī=ma	tabirīma
tab+i+rē+nni	tabrēnni
tab+ilia-ne-ž	tabilianiž
tab-ašt-i-le, tav-ašt-i-le	tabaštili
tab-ind-o-ež	tabenduž
tab-ož-o=d=am, tab-ož-ud-a=m	tābužudam
tab-ī-o	tābīw
tab-ōž-o=d=am, tab-ōž-ud-a=m	tābōžudam
taba+li-ne-ž	taballiž
tabakki-a	tabakka
tabrani	tabrāni
tabrani-a	tabrāna
tabri-a	tabra
tabrini-ne-ž	tabrinnež
tad+a+ni-da, tad+a+ni-i-da, tad-an-ed-a	tadanida
tad+ir+e+ški-ne-ve-āe	tadireškinibāe, tādireškinibāe
tad+ugar+i-āe	tadugarāe
tad+ugar+i-āi	tādugarāi
tad-id-a, tādi-da, tādi-i-da	tadida
tad-id-en, tatt-i-en, tatt-i=n, tatti-n, tatti=n	tattin
tado.ḫeba	tāduġeba
tado.ḫeba-va	taduġebāba
tado.ḫeba-ve	taduġebābi, tāduġebābi
tado.ḫeba=an, tado.ḫeba=n	taduġeban
tado.ḫeba=n	taduġevan, tāduġeban, tāduġebān
tag-o-l-aē-ž	tagulaēž
tag-o-l-āe-ž	tagulāež
tag-o-l-ēž	tagulēž, tāgulēž
tage+že	tagiže, tagēže, tāgiže, tāgiži
tage+že-na	tagižina
tagi	tagi, tāgi
tagi=ma	tagima
tal+āḫḫ-id-o	talaḫḫidu
tal+āḫḫ-o-m	talaḫḫum, talāḫḫum, tālāḫḫum
tal+āḫḫ-ī-b	tālāḫḫīb
tal-ašt-aw	talaštāw
tal-aḫḫ-ō-m	talaḫḫōm
tal-i, tal-i-le, tale, tāl-i, tāl-i-le	tali
tal-i-a, tale-i-a, tāle-i-a	tālia
tal-ā=lla, tale-ā=l, tāl-ā=l, tāle-ā=l	tālāl
tal-ī-a	talīa
tal-ōl-īž-a=nna, tāl+ūl+ī+že-a=nna	tālūlīžanna
talam+d-i-b, talam+d-i=v, talam+di-b	talamdib
tale, tāle	tāli
tale-b=ma, tale-iffe-a, tale-p-pa, talippi-a, tāl-i-b=ma, tāl-i=ffa	talippa
tale-ne-ž	talēnež
talm+a+ni-a=lla	talmanalla
talm+oḫḫe-a, talm-ōġ-a	talmōġa
talm-ašt-i	talmašti
talm-ašt-ī-le	talmaštīli
talm-d-o-m	tālamdub
talm-o, talm-u	talmu
talm-ōl-a	talmōla
talmošše-ne	talmuššini
talmōv-a-b	talmōvab
talāv+a+že	talāvaže
talāv+o+že	talavoži, talāvuži
talāv+o+že-na-až-a	talabōžinaža
talāv+o+že-na-až-ož	talabōžinažuž
talāv+o+že-na-āž-e	talavožināži
talāv+o+že-na-āž-ož	talābōžināžuž
tam+a+šše-na	tamāššina
tam+ar+i-na	tamarra
tamgina	tamgina
tamgina-ž	tamginaž
tamgāri-da, tamgāri-i-da	tamgarida
tamgāri-ne-da	tamgarrida
tami-a	tāma
tamm+ar+ġe	tammarġi
tammaderi-na	tammaderra
tamr-i-an, tamri-i-a=an, tamri-i-a=n	tamrian
tamri-a	tamra
tamri-ī=l, tamri-ž=l	tamrīl
tanni, tāni-ne, tāni-ne-e	tānni
tanni-a, tāni-na	tanna
tanāni-na	tanānna
tap-t-an-i, tapt+a+ni, tapt-an-i	taptani
tapti	tapti
tapti-ne, tapti-ne-e	tapteni, taptini
tapš+aġ+o+ḫḫe-a	tapšaġuḫḫa
tapš+ur+že-a	tapšurža
tapš+ur+že-ai	tapšuržai
tapš+āġ+i-a	tapšaḫḫa, tapšāġa
tapš+āġ+i-na	tapšāġina
tapš+ō+bāde	tapšōbādi
tapš-a-b	tapšab
tapš-ū	tapšū
tapḫ-ašt-i-b	tapḫaštib
tapḫi-a	tapḫa
tar+i+nni	tārinni
tar+i+nni=ma	tarinnima
tar+i+pt+i	taripti
tar+i+ġe-ne, tar+i+ġe-ne-e	tariġini, tāriġini
tar+ġe	targi
tarali-ne-ve	tarallibi
tarb-o, tarb-u, tarbu	tarbu
tarm+a+ni-na	tarmanna
tarm+a+ni-ne, tarm+a+ni-ne-e	tarmanni
tarm+a+ni-ne-ve-na	tarmannibina
tarm+a+ni-ož	tarmānuž
tarn-i, tarni	tarni
tarr-i-a, tarri-i-a, tāri-ne-va	tarria
tarve	tarve
tarē-na	tarēna, tārēna
tarže	tarže
taržuwa+n+zi	taržuwanzi
taržuwa+ni	taržuwāni, taržūwāni
taržuwa+ni-na	taržuwanna
taržuwa+ni-na-až-a	taržuwannaža
taržuwa+ni-na-až-e-āe	taržuwanažāe, taržuwannažāe
taržuwa+ni-na-až-ož	taržuwannažuž
taržuwa+ni-na-āž-a	taržuwannāža
taržuwa+ni-na-āž-e	taržuwannāži
taržuwa+ni-ne-da	taržuwannida
taržuwa+ni-ne-va	taržuwanniba
taržuwa+ni-ne-ve	taržuwannibi
taržuwa+ni-ne-ž	taržuwannež, taržuwanniž
tatḫi-ne-ve	tatḫinibi
tatḫi-nā=mma	tātḫināmma
taudi	tawti
tav-ašt-ō-m	tavaštōm
tav-ūd-o-m	tavūdum
tazakkašturi-a	tazakkaštura
taziri-a, šaziri-a	šazira
taġ+o+vadi-nē-da	taġuwadinēda
taġ+ā+že	taġāži
taġav+o+re, taġav+o+re-ne, taġav+o+re-ne-e	taġavure
taġōbi	taġōbi
taškar+ġe	taškarġi
taššāmi-b	taššāmib
taššāmi-ž	taššāmmiž
taž-ol-ūw-a	tažulūwa
taž-umme	tažummi
taže-ae	tāžae
taže-ne, taže-ne-e	taženi
taže-nē-ra	tāženēra
tažmi.šarri	tažmežarri
tažmi.šarri-da	tažmižarrida
tažmi.šarri-va	tažmižarriba
tažmi.šarri-ž	tažmižarriž
tažmi.šarri=n	tažmežarrin, tažmižarrin
te+o+n+āe	teunāe
te-i-a, tiye-a, tiye-i-a	tīa
te-i-a-ma, tē-i-a=ma, tēa=ma	tēama
te-ī-b, tiye-b	tīb
tebe-a, tive-a	teba
tebe-na	tebēna
tederi-a	tedera
teffe, tei-iffe	teffe
tei-ai, tive-ai	teiai
tel-i-b=ma	telippa
tel-o, tel-u	telu
tel-o-m=ma, tel-umme-a	telumma
tel-u	tēlu
tel-ī-b=ma	telīppa
tem+gi-i-až-a	temgiaža
temiġi-a	temiġa
temm+ā+ni, temm-ān-i	temmāni
teġ+ol+i-ne, teġ+ol+i-ne-e, teġ-ol-i-le	teġulli
teġ-ed-a	teġida
teġ-ed-a, teġidi-a, tēġi-da, tēġi-i-da	tēġida
teġ-ešt-a-b	teġeštab
teġ-ešt-o-m	teġeštub
teġ-i-o	teġiw
teġ-ull-a	tēġulla
teġr-i, teġri	teġri
tešš+o+ġe-āi	teššuġāi
tešš-už-o-m	teššužum
tešše	tešši, tēšši
tešše+ni, tešše-ne, tešše-ne-e	teššeni
tešše-i-e, tešše-ie	teššīe
tešše-na	teššena
tešše-na-āž-a	teššināža
teššob	teššub
teššob-až	teššōbaž
teššob-pe	tešcuppi, teššuppi
tež+o+ġe-āi	težuġāi
tež+uġ+ar+ġe	težuġarġi
tež+uġ+ar+ġe-da, tež+uġ+ar+ġe-i-da	težuġarġida
tež+uġ+ar+ġe-na-āž-e	težuġarġināži
teži-āe	težāe
teḫp-a, teḫpi-a	teḫpa
tib-a, tibi-a, tive-a	tiba
tibade=dilla	tibadedella
tibāġi-a, tiv-āġ-a	tibāġa
tid+i+vad+o+ḫḫe-a	tedevaduḫḫa, tidivāduḫḫa
tidi-a, tīd-a, tīd-a, tīd-a	tīda
tidi-da, tidi-i-da, tīd-id-a, tīd-id-a, tīd-id-a	tīdida
tidi-i-a=m, tīd-i-a=m, tīd-i-a=m	tidiam
tidi-i-ā=m, tīd-i-ā=m, tīd-i-ā=m	tidiāb
til+ol-ōšt-aw	tilulōštab
tilladi-a	tillada
timeri-ne-e	timarri
timeri-ne-ē	timerrē
tip+šari	tipšar, tipšari, tipšāri, tīpšāri
titt-a, titti-a, tīd-id-a, tīd-id-a, tīd-t-a	titta
tiv+o+šḫi	tibōšḫi
tiv+o+šḫi-a	tebušḫa, tivošḫa
tiv+o+šḫi-na, tiv+o+šḫi-ne-e	tivušḫini
tiv+o+šḫi-āi	tebušḫāi, tibušḫāi
tiv-a, tiye-i-va, tiye-v-a, tiye-va	tīva
tiv-āġ-id-o	tivāḫtu
tiv-āġ-ō-m	tibāġōm
tive	tebi, teve, tibi, tivi, tībi
tive-b	tibib
tive-f-fa, tive-iffe-a	teveffa
tive-na	tevena, tibina, tibēna, tivena, tivina, tēvena, tīvena, tīvina
tive-na-až-ož, tive-na-āž-ož	tebinažuž
tive-na-āž-ož	tebināžuž
tive-ne, tive-ne-e	tebini
tive-ne-va, tīvini-ne-va	tīvenniva
tive-ne-ž	tiveniž
tive-nā=m	tivinām
tive-v-uda=m	tivivudab
tive-ā	tīvā
tive-āe	tebāe, tibāe
tive-āi	tebāi, tibāi
tiye-a	tia
tiye-iē-a, tēa	tēa
tiz-ū	tizū
tišš+o+ḫḫe	tiššuḫḫi
tiža-b	tižab
tiža-b, tīž-a-b	tīžab
tiža-i-až	tižiaž
tiža-nna, tiža=nna	tīžanna
tiḫḫ-ed-a, tiḫḫi-da, tiḫḫi-i-da	tiḫḫida
tomn+adi-ne=lla	tumnadinella
tomni-i-a=m	tumniam
tomni-i-až-a	tumniaža
tomni-i-až-ōž	tūmniažūž
ton-i-le=ffa, tōn+ili-f-fa, tōn+ili-iffe-a	tōniliffa
ton-i-vade-ai, tūn-i-vade-ai	tunivadai
ton-i-āi-n, ton-i-āi=n, tūn-i-āi-n, tūn-i-āi=n	tūnāin
ton-id-o	tunidu
ton-ošt-o, ton-ošt-u, tūn-ušt-o, tūn-ušt-u	tunuštu
ton-āḫḫ-i, tōn+ā+ḫḫe, tōn+āḫḫ+i, tūn+ā+ḫḫe, tūn+āḫḫ+i, tūn-āḫḫ-i	tūnāḫḫi
ton-ō-m, tūn-ō-m	tunōm
ton-ōšt-o-m	tunōštum
tor+o+ḫḫe-na, tur+o+ḫḫe-na	turuḫḫina
tor+o+ḫḫe-āe	tōruḫḫāe
torove	tōruwe, tōruwi
torove-a, torv-a	turba
torove-ne-ve	tōrōbinibi
tuffaē+šḫe=ma	tuffaēšḫema
tug-a=lla, tugali-na, tugi-a=lla	tugalla
tugriž+ō+ġe-a	tugrižōġa
tugriž-ḫe	tugrišḫi
tui-i-va, tui-va	tuiba
tulbuli+m+a+že-a	tulbulimaža
tulburi-āe	tulburāe
tuli-ne-ve-na, tulli-ve-na	tullibina
tummi-ne-e=nna, tummi-ne-nna, tummi-ne=nna	tummininna
tun+i+tḫe-iffe	tunitḫibe
tunuwari-ne-ž	tunuwarriž
tuppi-ne-e	tuppini
tupḫ-a, tupḫi-a	tupḫa
turb+ō+re	turbōri
turžē	turžē
tuw+ar+ni-ve-ne-da	tuwarnibinida
tā-ūmb-a=lla	tāwumballa
tād+ar+e+ški	tādareški
tād+i+a+šše	tādiašši
tādi-a	tāda
tādi-ne-vā=d	tādinibād
tādi-āe	tadāe
tāditti+ni-i-a=lla, tāditti+ni-i-až=lla	tādittiniala
tāg+ō+re	tāgōri
tāgidu-ra	tāgidura
tāle-na	tālina
tāle-na-až-a	talinaža, talēnaža
tāle-na-āž-a	tālināža
tāle-ne-va	taliniba
tāle-ne-ž	tālēnež
tāle-nē-da	tālinēda
tān+gi-ai=mā	tāngaimā
tān+o+že	tānuže
tān-a	tā+na
tān-a, tāni-a	tāna
tān-ašt-ī-b	tānaštīb
tān-d-i-b	tāndib
tān-d-o, tān-d-u, tān-id-o	tāndu
tān-i, tāni	tāni
tān-ož-i	tānuži
tānu	tānu
tānumāgi-āi	tānumāgāi
tāpš-ōl-āw	tāpšūlāw
tār+ō+ni, tār-ōn-i	tārōni
tār-a, tāri-a	tara
tār-a, tāri-a, tāri-a	tāra
tāri	tāri
tāri-ai, tāri-āi	tarāi
tāri-na	tārra
tāri-ne, tāri-ne, tāri-ne-e, tāri-ne-e	tārri
tāri-ne-ž	tarriž, tārrež, tārriž
tātḫ+und+ō+re-na=mma	tatḫundōrinamma, tātḫundōrinamma
tāġ-a, tāġe-a	tāġa
tāġ-až-ī-b	taġažīb
tāġ-i, tāġ-i, tāġe, tāġe	tāġi
tāġani-na	tāġanna
tāġe	tāġe
tāġe-i-va, tāġe-va	tāġiba
tāġe-ne-va	tāġiniba
tāġe-ne-ve-ne-ž	tāġinibinež
tāġe-ne-vā=l	taġēnivāl
tāġe-ne-ž	taġinež, taġēnež, tāġinež
tāġe-ve	tāġibi
tāġe-ve-āe	tāġibāe
tāġe-ve-āi	tāġibāi
tāġe=d	tāġid
tāġe=ma, tāġe=ma	tāġēma
tāži-ne, tāži-ne-e	tāžini
tāžē-ne, tāžē-ne-e	tāžēni
tē+ni	tēni
tē+ni-a, tēni-a	tēna
tē-i-a	teeia
tēi	tē
tēi+ade-n, tēi+ade=n	tēadin
tēġ+o+šše-n(e)-e, tēġ+o+šše-ne	tēġuššeni
tēġi-i-až-a	teġiaža
tīd-i-kki	tidikki
tīd-i-o, tīd-i-o, tīd-i-o	tīdiw
tīd-i-vāde	tīdivāde
tīd-išt-ēd-i	tidištēdi
tīv-o=lla=an, tīv-oll-a=an, tīv-oll-a=n, tīvoli-na=an	tīvollan
tōbi-na-až-ož	tubinažuž, tōbinažuž
tōbi-na-āž-ož	tōbināžuž
tōbi-āe	tōbāe
tōmmo+šše	tōmmušše
tōmv-a	tōmva
tōpš-ed-a, tōpši-da, tōpši-i-da	tōpšida
tōġ+ad+om+a+ni-ne, tōġ+ad+om+a+ni-ne-e, tōġ+ad+om+a+nni	tōġadumanni
tōġ-ad-i-b	tōġadib
tōġ-ad-ož-i-l-āi	tōġadužilāi
tōġ-ad-uffu	tōġaduppu
tōġal+zi-ne-va	tōġalziniba
tōġal+zi-ne-ž	tōġalziniž
tūdi+gi-ož	tūdiguž
tūdi+gi-ōž	tūdigōž
tūn+imm+o+šš+oḫḫe-a	tūnimmuššuḫḫa
tūn-id-o	tūnidu
tūni-ia-ne	tūniani
tūnuw-ad-o, tūnuw-ad-u	tūnuwadu
tūr+o+ḫḫe	turuḫḫe, tūruḫḫi
tūr-i, tūri	tōri, tūri
tūri	tūria
tūri-n, tūri=n	tūrīn
tūri-ī-e, tūrī+e	tūrīe
ub+ugar+že-ne, ub+ugar+že-ne-e	ubugarženi
ub-a, ubi-a, ubī-a	uba
ub-ind-i-ai-n, ub-ind-i-ai=n, ubindi-ai=n	ubindain
ub-o-kko	ubukku
ub-o-m	uwom
ub-o-va-en	ubuwen
ub-ēd-a	ubēda
ub-ō-m	uwōm
ub-ōž-a, ub-ōž-a	ubūža
ubi	ubi
ubilbaeži	ubilbaeži
ubilbaeži-ne-ž=l	ubilbāeženel
ubip.tēšši-ž=l	ubiptēššel
ud-ad-i-l-āi=v, udadeli-āi=v	udadelāib
ud-ož-o=d=amma, ud-ož-ud-a=mma	udužudamma
ud-ān-a-b	udānab
udip.šarra-a=an, udip.šarra-a=n, udip.šarra=an, udip.šarra=n	udipšarran
udip.šarra-ž=l	udepšarrāl
ue, uwi	ue
uenawa	uenava
uenawa-ž=l	uenaval
ug+ol+gar-i	ugulgari
ug+ol+z+i+ġe-ia-ne	ugulziġiani
ug+ol+z-i-b	ugulzib
ugulg-o=l, ugulg-u=l	ugulgul
ukk-o, ukk-u, ukku	ukku
ul+ān-ō-m	ulānōm
umb+und+o+re-ne-da=l	umbundurinidal
umb-iž-a, ūmb+i+že-a	ūmbiža
umb-ō-ež, umbi-ōž	umbōž
umba=an, umba=n	umban
umbu	umbu
umm+all+id+a+šše, umm-all-ed-a-šše	ummallidašše
umm-an-a, ummani-a, ummani-a	ummana
umm-an-id-o	ummandu, ummanidu
umm-o-m-a-šše-ne-va, umm-o-m-a-šše-ne-va, ūmm+um+a+šše-ne-va	ūmmumaššiniva
umm-ēġ-a	ūmmēġa
umve	umve
un+i+ġe-i-ž, un+i+ġe-ž	uniġiž
un+i+ġe-ia-ne	uniġiani
un+o+šḫe-ož	unušḫuž
un-a	una
un-a=dil	unadel
un-a=m, un-a=m	unam
un-i-b	unib
un-i-eva=d=ān	univadān
un-i-eva=tta	univatta
un-i=l	unel
un-o-ež	unuž
un-īd-o	unīdu
un-ōž-i	unōži
univi-i-a	univia
ur-a, uri-a	ura
ur-i, ur-i, ur-i, ure, uri, uri	uri
ur-i-o	uriu
ur-o-kko	urukku
ur-uw-a	uruwa
ur-uġ-ed-a	uruġeda, uruġida
ur-uġ-ēd-a	uruġēda
ur-ō-kko	urūkku
uraē-na	uraēna
ure-a	uria
ure-na	urina
ure-āe	urāe
urgi	urgi
urgi-na	urgina
uri-b-a, uri-i-va, uri-va	uriba
uri-i-da	urida
uri-i=l	urel
uri-ī-da	urīda
urūbi	urūbi
utḫari-na	utḫarra
uw+all+i+nni, uwalli-nni	uwallinni
uw+ar+i+nni-nā=ma	farinināma
uw+ett+a+ni	uittani, uēttani
uw+o+ni-a	ūna
uw+o+že-a=mma, uw-ož-a=mma	ūžamma
uw+o+že-i-a	ūžia
uw+ētt-a, uwētti-a	uētta
uw-a=l, uwi-a=l	uwal
uw-i, uwi-a=m	uwamuwā
uw-il-an-o-m	uilanum
uw-ā=l, uwi-ā=l	uwāl
uwer+o+ḫḫe-ā=l	ueruḫḫāl
uwi	ui
uwi-a	uwa
uwi-b	uīb
uwi-na-āž-a, uwi-na-āž-a	uwanāža
uwi-ne, uwi-ne-e	ueni
uwi-ne-ž	uinež
uwi-ā	uwā
uwi-ž	uīž
uwēkki	uēkki
uwīri-ne-ve-na-āž-a	uīrrivenāža
uzi	uzi
uġari-na	uġarra
uġi	uġi
ušš+e+šše-ne-da	uššeššinida
ušš+i+ġe-na	uššiġina
ušš-o-l-ēž	uššulēž
ušš-ō-m, ōšš-ō-m	uššōm
ušḫ+ār+i-ī-da	ušḫārīda
ušḫ-ol-uffu	ušḫuluppu
