a-uw-a, auwi-a	awfa
evri-i-da	ebrida, ēbrida
evri-i-va	ēbriva
evri-i-vē, evri-vē	ēbrivē
evri-i-ž, evri-ž	ēbrež
evri-ē-da	ēbrēda
evri-ī-da	ēbrīda
evri-ž	ebrež, ibrež, ēbriž
eġ+epš-ulli=ma	eġepšullima
eġ+epš-ullī=ma	eġepšullīma, šullīma
eġari	eġari
eġari-ne-ve-ne-da=l	eġarribinidal
eġi-ne-n	eġinen
eġl+i+ġe	eġliġi
eġl-i-l-eva-š=nna	eġilli⸢fa⸣ašša
eġli+ana-ž	eġlianaž, ēġlianaž
eġli-ve	eġlibi
eġli-ve-na	eġlibina
eġli-ve-ne-da	eġlibinida
eġli-ve-ne-ve-na	eġlibinibina
eġli-ve-ne-ve-na-āž-a	eġlibinibināža
ešk+ar+i-ne, ešk+ar+i-ne-e	eškarri
eškāve	eškāve
eššae-ne, eššae-ne-e	eššaeni
eže	eže
eže-a	eža
eže-na	ežena
eže-ne, eže-ne-e	ežene, eženi
eže-ne-va	eženiva
eže-ne-ve	eženibi, eženive
eže-ne-š=nna	eženišša
eže-nē-ve	eženēbi
ežeb.ābu-š=nna	ežebābušša
ežeb.ābu=n, ežeb.ābu=n	eževabun
ežeži-a=l	ežežal
fa-i-kki=mān	faikkimān
fad-eġ-i-b, fadeġi-b	fadeġib
fael-i, faeli	faeli
fal-o-kko	falukku
fand+a+ni	fandani, pandani
fand+ar+i+nni-a	pandarinna
fand+ar+i+nni-nā=ma	fandarinināma
fand-ar-i, pand+ar+i	pandari
fandi+n	fandin
fandi-b	pāndib
fandi-i-až-a=l, pandi-i-až-a=l	pandiažal
faz+ur+a+nni	fa⸣suranni
faġ-ōž-a	fāġōža
faġr+a+že	faġraži
faġr+o+vāde	faġruwāde, paġrubādi
faġr+o+vāde-a	fāġruwāda
faġr+o+že	faġruži, paġruže, paġruži, pāġrōži
faġr+o+že-a	faġruža, pāġrōža
faġr+o+že-na	paġrōžina
faġr+o+že-ne-e	pāġružini
faġr+o+že-ne-ž	pāġrōžinež
