form	segmentation	pos	morph_tag
ēbrēda	evri-i-da	noun	3POSS.SG-DIR
ēbrīda	evri-i-da	noun	3POSS.SG-DIR
ebrež	evri-ž	noun	ERG
ibrež	evri-ž	noun	ERG
ēbrež	evri-ž	noun	ERG
ēbriž	evri-ž	noun	ERG
eġepšullima	eġ+epš-ulli=ma	verb	ulli=CON
eġepšullīma	eġ+epš-ulli=ma	verb	ulli=CON
šullīma	eġ+epš-ulli=ma	verb	ulli=CON
eġlianaž	eġli+ana-ž	noun	ERG
ēġlianaž	eġli+ana-ž	noun	ERG
ežene	eže-ne	noun	ABL/INS
eženi	eže-ne	noun	ABL/INS
ežene	eže-ne-e	noun	RELAT.SG-DIR/LOC
eženi	eže-ne-e	noun	RELAT.SG-DIR/LOC
eženibi	eže-ne-ve	noun	RELAT.SG-GEN
eženive	eže-ne-ve	noun	RELAT.SG-GEN
eženēbi	eže-ne-ve	noun	RELAT.SG-GEN
eževabun	ežeb.ābu=n	noun	.ABS=3SG.ABS
eževabun	ežeb.ābu=n	noun	.ABS=CON
fandani	fand+a+ni	noun	.ABS
pandani	fand+a+ni	noun	.ABS
faġruwāde	faġr+o+vāde	ADJ	.ABS
paġrubādi	faġr+o+vāde	ADJ	.ABS
faġruži	faġr+o+že	ADJ	.ABS
paġruže	faġr+o+že	ADJ	.ABS
paġruži	faġr+o+že	ADJ	.ABS
pāġrōži	faġr+o+že	ADJ	.ABS
faġruža	faġr+o+že-a	ADJ	ESS
pāġrōža	faġr+o+že-a	ADJ	ESS
fāġra	faġri-a	noun	ESS
paġra	faġri-a	noun	ESS
fažēda	faž-ed-a	verb	FUT-3A.SG
pažēda	faž-ed-a	verb	FUT-3A.SG
foglāla	fogl-al-a	verb	al-3A.SG
puglāla	fogl-al-a	verb	al-3A.SG
foride	for-ed-i	verb	FUT-ANTIP
forēdi	for-ed-i	verb	FUT-ANTIP
fōri	for-i	verb	ANTIP
fōri	for-i	verb	TR.IMP
pōri	for-i	verb	ANTIP
foruššuenim	for-ušš-o-en-i=m	verb	ušš-MOD.PAT-3JUSS-EPNTH=CON
foruššuēnnim	for-ušš-o-en-i=m	verb	ušš-MOD.PAT-3JUSS-EPNTH=CON
foružuenim	for-ušš-o-en-i=m	verb	ušš-MOD.PAT-3JUSS-EPNTH=CON
foruššuenim	foruššue+nni=m	noun	.ABS=CON
foruššuēnnim	foruššue+nni=m	noun	.ABS=CON
foružuenim	foruššue+nni=m	noun	.ABS=CON
foruššuenim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foruššuēnnim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foružuenim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foruššuenim	foruššueni-ne=m	noun	ABL/INS=CON
foruššuēnnim	foruššueni-ne=m	noun	ABL/INS=CON
foružuenim	foruššueni-ne=m	noun	ABL/INS=CON
pudulimašši	fud+ol+i+m+a+šše	noun	.ABS
pudulimāšši	fud+ol+i+m+a+šše	noun	.ABS
fōdu	fud-o	verb	MOD.PAT
pūdu	fud-o	verb	MOD.PAT
pudūri	fud-o-re	verb	PAT-PTCP.ABS
pūduri	fud-o-re	verb	PAT-PTCP.ABS
fōdu	fud-u	verb	MED
pūdu	fud-u	verb	MED
putki	fut+ki	noun	.ABS
pūtki	fut+ki	noun	.ABS
futkina	fut+ki-na	noun	RELAT.PL.ABS
putkina	fut+ki-na	noun	RELAT.PL.ABS
pāžanae	fāžani-ae	noun	INS
pāžanāe	fāžani-ae	noun	INS
fāže	fāži	noun	.ABS
fāži	fāži	noun	.ABS
paži	fāži	noun	.ABS
pāži	fāži	noun	.ABS
fāžīva	fāži-i-va	noun	3POSS.SG-DAT
pāžiba	fāži-i-va	noun	3POSS.SG-DAT
fēža	fē-ž-a	PRON	PL-DAT/ESS
pēža	fē-ž-a	PRON	PL-DAT/ESS
fēžuda	fē-ž-oda	PRON	PL-DIR
fēžūda	fē-ž-oda	PRON	PL-DIR
fōrida	fōri-da	noun	DIR
pōrida	fōri-da	noun	DIR
fōrida	fōri-i-da	noun	3POSS.SG-DIR
fōrīda	fōri-i-da	noun	3POSS.SG-DIR
pōrida	fōri-i-da	noun	3POSS.SG-DIR
fōrulli	fōroli-ne	noun	ABL/INS
pōrulli	fōroli-ne	noun	ABL/INS
fōrulli	fōroli-ne-e	noun	RELAT.SG-DIR/LOC
pōrulli	fōroli-ne-e	noun	RELAT.SG-DIR/LOC
fōrullibina	fōroli-ne-ve-na	noun	RELAT.SG-GEN-RELAT.PL.ABS
pōrullibina	fōroli-ne-ve-na	noun	RELAT.SG-GEN-RELAT.PL.ABS
fūru	fūr-u	verb	MED
pūru	fūr-u	verb	MED
idni	id+ni	noun	.ABS
ēdni	id+ni	noun	.ABS
idennanež	idenna-ne-ž	noun	RELAT.SG-ERG
idennaniž	idenna-ne-ž	noun	RELAT.SG-ERG
ide	idi	noun	.ABS
idi	idi	noun	.ABS
ideda	idi-da	noun	DIR
