form	segmentation	pos	morph_tag
eguššužilandin	eg+o+šš-ož-ill-and-i=n	verb	ož-ill-PL.A-MOD.AG=3SG.ABS
elabae	ela-ve-ae	noun	GEN-INS
elabae	elabi-ae	noun	INS
ellaža	ela-na-až-a	noun	RELAT.PL-PL-DAT/ESS
ellaža	eli-na-až-a	noun	RELAT.PL-PL-DAT/ESS
ellaža	ell+a+že-a	noun	ESS
emaššeni	eman+že-ne	NUM	ABL/INS
emaššeni	eman+že-ne-e	NUM	RELAT.SG-DIR/LOC
ennida	enni-da	noun	DIR
ennida	enni-i-da	noun	3POSS.SG-DIR
enudōbin	en+ud+ōbi-n	noun	ABL/INS
enudōbin	en+ud+ōbi=n	noun	.ABS=3SG.ABS
enudōbin	enudōbi=n	noun	.ABS=CON
erāna	er+āna	noun	.ABS
erāna	er+āni-a	noun	ESS
erānalla	er+āna=lla	noun	.ABS=3PL.ABS
erānalla	er+āni-a=lla	noun	ESS=3PL.ABS
evarip⸢fa?⸣an	evari-iffe-a=an	noun	1POSS.SG-ESS=CON
evarip⸢fa?⸣an	evari-iffe-a=n	noun	1POSS.SG-ESS=3SG.ABS
evarip⸢fa?⸣an	evari-v-va=an	noun	2POSS.SG-DAT=CON
evarip⸢fa?⸣an	evari-v-va=n	noun	2POSS.SG-DAT=3SG.ABS
eškarri	ešk+ar+i-ne	noun	ABL/INS
eškarri	ešk+ar+i-ne-e	noun	RELAT.SG-DIR/LOC
eššaeni	eššae-ne	noun	ABL/INS
eššaeni	eššae-ne-e	noun	RELAT.SG-DIR/LOC
ežene	eže-ne	noun	ABL/INS
ežene	eže-ne-e	noun	RELAT.SG-DIR/LOC
eženi	eže-ne	noun	ABL/INS
eženi	eže-ne-e	noun	RELAT.SG-DIR/LOC
eževabun	ežeb.ābu=n	noun	.ABS=3SG.ABS
eževabun	ežeb.ābu=n	noun	.ABS=CON
faštu	fašt-o	verb	MOD.PAT
faštu	fašt-u	verb	MED
fel	fē-lla	PRON	PL.ABS
fel	fē-ž=l	PRON	ERG=3PL.ABS
fondurunnenna	fondur+o+ni-ne-e=nna	noun	RELAT.SG-DIR/LOC=3SG.ABS
fondurunnenna	fondur+o+ni-ne-nna	noun	RELAT.SG-EQU2
fondurunnenna	fondur+o+ni-ne=nna	noun	ABL/INS=3SG.ABS
fondurunnenna	fondur+o+nni-nna	noun	EQU2
fondurunnenna	fondur+o+nni=nna	noun	.ABS=3SG.ABS
fonuġunna	fonuġ+o+ni-na	noun	RELAT.PL.ABS
fonuġunna	fonuġ+o+nni-a	noun	ESS
foruššuenim	foruššue+nni=m	noun	.ABS=CON
foruššuenim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foruššuenim	foruššueni-ne=m	noun	ABL/INS=CON
foruššuēnnim	foruššue+nni=m	noun	.ABS=CON
foruššuēnnim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foruššuēnnim	foruššueni-ne=m	noun	ABL/INS=CON
foružuenim	foruššue+nni=m	noun	.ABS=CON
foružuenim	foruššueni-ne-e=m	noun	RELAT.SG-DIR/LOC=CON
foružuenim	foruššueni-ne=m	noun	ABL/INS=CON
forāna	for+āna	noun	.ABS
forāna	for+āna-a	noun	ESS
fudōštu	fud-ošt-o	verb	RES-MOD.PAT
fudōštu	fud-ošt-u	verb	RES-MED
futkiž	fut+ki-i-ž	noun	3POSS.SG-ERG
futkiž	fut+ki-ž	noun	ERG
fārie	fāri-e	noun	3POSS.SG.ABS
fārie	fāri-i-e	noun	3POSS.SG-DIR/LOC
fārie	fārē	noun	.ABS
fāġie	pāġi	noun	.ABS
fāġie	pāġi-e	noun	3POSS.SG.ABS
fāġie	pāġi-i-e	noun	3POSS.SG-DIR/LOC
fāžanni	fāžani-ne	noun	ABL/INS
fāžanni	fāžani-ne-e	noun	RELAT.SG-DIR/LOC
fōdu	fud-o	verb	MOD.PAT
fōdu	fud-u	verb	MED
fōri	for-i	verb	ANTIP
fōri	for-i	verb	TR.IMP
fōrida	fōri-da	noun	DIR
fōrida	fōri-i-da	noun	3POSS.SG-DIR
fōriffān	fōri-iffe-a=an	noun	1POSS.SG-ESS=CON
fōriffān	fōri-iffe-a=n	noun	1POSS.SG-ESS=3SG.ABS
fōriffān	fōri-v-va=an	noun	2POSS.SG-DAT=CON
fōriffān	fōri-v-va=n	noun	2POSS.SG-DAT=3SG.ABS
fōrulli	fōroli-ne	noun	ABL/INS
fōrulli	fōroli-ne-e	noun	RELAT.SG-DIR/LOC
fōrālīnie	for+ali-i-ne	noun	3POSS.SG-ABL/INS
fōrālīnie	for+ali-i-ne-e	noun	3POSS.SG-RELAT.SG-DIR/LOC
